attempt, points, estimate
10, 800, 12.15
11, 800, 11.43
12, 800, 12.27
13, 800, 11.52
14, 800, 11.79
15, 800, 12.03
16, 800, 12.24
17, 800, 12.33
18, 800, 12.24
19, 800, 12.15
20, 800, 11.7
21, 800, 11.73
22, 800, 11.82
23, 800, 12.12
24, 800, 11.76
25, 800, 12.69
26, 800, 11.76
27, 800, 12.36
28, 800, 12.51
29, 800, 12.45
30, 800, 12.15
31, 800, 11.88
32, 800, 12.51
33, 800, 11.85
34, 800, 11.91
35, 800, 13.02
36, 800, 12.27
37, 800, 12.21
38, 800, 11.88
39, 800, 11.85
40, 800, 11.88
41, 800, 11.43
42, 800, 11.43
43, 800, 12.12
44, 800, 12.15
45, 800, 12.3
46, 800, 11.1
47, 800, 11.91
48, 800, 11.67
49, 800, 12.99
50, 800, 11.4
1, 850, 11.604705882352942
2, 850, 11.52
3, 850, 12.197647058823529
4, 850, 11.632941176470588
5, 850, 12
6, 850, 11.943529411764706
7, 850, 11.689411764705882
8, 850, 12.451764705882352
9, 850, 11.463529411764705
10, 850, 11.294117647058824
11, 850, 11.548235294117648
12, 850, 11.830588235294117
13, 850, 12
14, 850, 11.491764705882353
15, 850, 12.112941176470589
16, 850, 11.971764705882354
17, 850, 12.621176470588235
18, 850, 12.169411764705883
19, 850, 11.887058823529411
20, 850, 11.858823529411765
21, 850, 12.649411764705881
22, 850, 12.141176470588235
23, 850, 11.407058823529411
24, 850, 12.112941176470589
25, 850, 13.044705882352941
26, 850, 12.367058823529412
27, 850, 11.91529411764706
28, 850, 12.197647058823529
29, 850, 12.508235294117647
30, 850, 12.734117647058824
31, 850, 11.463529411764705
32, 850, 12.367058823529412
33, 850, 12.197647058823529
34, 850, 12.08470588235294
35, 850, 12.028235294117646
36, 850, 12
37, 850, 12.67764705882353
38, 850, 12.169411764705883
39, 850, 11.632941176470588
40, 850, 12.08470588235294
41, 850, 12.08470588235294
42, 850, 12.112941176470589
43, 850, 12.48
44, 850, 11.491764705882353
45, 850, 12.423529411764706
46, 850, 12.197647058823529
47, 850, 12.395294117647058
48, 850, 11.858823529411765
49, 850, 11.604705882352942
50, 850, 11.181176470588236
1, 900, 12.213333333333333
2, 900, 12.266666666666667
3, 900, 12.16
4, 900, 11.2
5, 900, 12.373333333333333
6, 900, 12.746666666666666
7, 900, 12.266666666666667
8, 900, 11.706666666666667
9, 900, 11.706666666666667
10, 900, 11.706666666666667
11, 900, 12.32
12, 900, 11.946666666666667
13, 900, 12
14, 900, 11.84
15, 900, 12.8
16, 900, 12.24
17, 900, 12.026666666666667
18, 900, 11.813333333333333
19, 900, 11.733333333333333
20, 900, 12.506666666666666
21, 900, 11.493333333333334
22, 900, 11.92
23, 900, 11.28
24, 900, 12.24
25, 900, 12.213333333333333
26, 900, 11.333333333333334
27, 900, 12.133333333333333
28, 900, 12.293333333333333
29, 900, 12.453333333333333
30, 900, 11.546666666666667
31, 900, 12.32
32, 900, 11.893333333333333
33, 900, 11.813333333333333
34, 900, 11.946666666666667
35, 900, 11.786666666666667
36, 900, 11.973333333333333
37, 900, 11.893333333333333
38, 900, 12.32
39, 900, 12.373333333333333
40, 900, 12.213333333333333
41, 900, 12.346666666666666
42, 900, 12.186666666666667
43, 900, 11.6
44, 900, 12.32
45, 900, 12.106666666666667
46, 900, 12.48
47, 900, 12.08
48, 900, 11.573333333333334
49, 900, 11.226666666666667
50, 900, 11.466666666666667
1, 950, 12.202105263157895
2, 950, 11.949473684210526
3, 950, 12.808421052631578
