attempt, points, estimate
50, 700, 0.19142857142857142
1, 750, 0.18666666666666668
2, 750, 0.19866666666666666
3, 750, 0.20666666666666667
4, 750, 0.19733333333333333
5, 750, 0.192
6, 750, 0.17866666666666667
7, 750, 0.19733333333333333
8, 750, 0.21466666666666667
9, 750, 0.22933333333333333
10, 750, 0.208
11, 750, 0.20533333333333334
12, 750, 0.188
13, 750, 0.192
14, 750, 0.17866666666666667
15, 750, 0.184
16, 750, 0.20533333333333334
17, 750, 0.20933333333333334
18, 750, 0.22533333333333333
19, 750, 0.204
20, 750, 0.21866666666666668
21, 750, 0.19866666666666666
22, 750, 0.192
23, 750, 0.196
24, 750, 0.19866666666666666
25, 750, 0.17733333333333334
26, 750, 0.19866666666666666
27, 750, 0.20533333333333334
28, 750, 0.20266666666666666
29, 750, 0.19466666666666665
30, 750, 0.19733333333333333
31, 750, 0.21466666666666667
32, 750, 0.20133333333333334
33, 750, 0.21066666666666667
34, 750, 0.17866666666666667
35, 750, 0.19733333333333333
36, 750, 0.21333333333333335
37, 750, 0.19466666666666665
38, 750, 0.216
39, 750, 0.19866666666666666
40, 750, 0.20933333333333334
41, 750, 0.19066666666666668
42, 750, 0.2
43, 750, 0.192
44, 750, 0.196
45, 750, 0.19866666666666666
46, 750, 0.196
47, 750, 0.19066666666666668
48, 750, 0.18266666666666667
49, 750, 0.18133333333333335
50, 750, 0.20266666666666666
1, 800, 0.2175
2, 800, 0.1875
3, 800, 0.18
4, 800, 0.1775
5, 800, 0.21375
6, 800, 0.21875
7, 800, 0.20125
8, 800, 0.19125
9, 800, 0.1975
10, 800, 0.1775
11, 800, 0.18875
12, 800, 0.20875
13, 800, 0.19
14, 800, 0.1975
15, 800, 0.21375
16, 800, 0.21125
17, 800, 0.18875
18, 800, 0.18875
19, 800, 0.20125
20, 800, 0.20875
21, 800, 0.1825
22, 800, 0.21
23, 800, 0.19625
24, 800, 0.21875
25, 800, 0.205
26, 800, 0.1675
27, 800, 0.21375
28, 800, 0.20375
29, 800, 0.2075
30, 800, 0.22
31, 800, 0.17875
32, 800, 0.21
33, 800, 0.18375
34, 800, 0.195
35, 800, 0.215
36, 800, 0.20625
37, 800, 0.19625
38, 800, 0.20125
39, 800, 0.17
40, 800, 0.20875
41, 800, 0.1825
42, 800, 0.20125
43, 800, 0.2125
44, 800, 0.19
45, 800, 0.19875
46, 800, 0.18375
47, 800, 0.19875
48, 800, 0.20375
49, 800, 0.2
50, 800, 0.18625
1, 850, 0.19647058823529412
2, 850, 0.18235294117647058
3, 850, 0.20823529411764705
4, 850, 0.1952941176470588
5, 850, 0.21176470588235294
6, 850, 0.20941176470588235
7, 850, 0.18
8, 850, 0.1976470588235294
9, 850, 0.17882352941176471
10, 850, 0.1776470588235294
11, 850, 0.18588235294117647
12, 850, 0.19411764705882353
13, 850, 0.21058823529411766
14, 850, 0.18941176470588236
15, 850, 0.18705882352941178
16, 850, 0.19058823529411764
17, 850, 0.20588235294117646
18, 850, 0.2011764705882353
19, 850, 0.18823529411764706
20, 850, 0.2
21, 850, 0.19411764705882353
22, 850, 0.18823529411764706
23, 850, 0.20352941176470588
24, 850, 0.21764705882352942
25, 850, 0.2023529411764706
26, 850, 0.22470588235294117
27, 850, 0.19176470588235295
28, 850, 0.1988235294117647
29, 850, 0.22
30, 850, 0.22941176470588234
31, 850, 0.1976470588235294
32, 850, 0.20470588235294118
33, 850, 0.20588235294117646
34, 850, 0.2223529411764706
35, 850, 0.20352941176470588
36, 850, 0.21176470588235294
37, 850, 0.1976470588235294
38, 850, 0.20823529411764705
39, 850, 0.16705882352941176
40, 850, 0.19647058823529412
41, 850, 0.20823529411764705
42, 850, 0.18470588235294116
43, 850, 0.19176470588235295
44, 850, 0.19294117647058823
45, 850, 0.20823529411764705
46, 850, 0.20470588235294118
47, 850, 0.22588235294117648
48, 850, 0.18235294117647058
49, 850, 0.2
50, 850, 0.16705882352941176
1, 900, 0.2222222222222222
2, 900, 0.19777777777777777
3, 900, 0.20333333333333334
4, 900, 0.17333333333333334
5, 900, 0.22
6, 900, 0.19333333333333333
7, 900, 0.22777777777777777
8, 900, 0.18333333333333332
9, 900, 0.21222222222222223
10, 900, 0.18
11, 900, 0.20444444444444446
12, 900, 0.20444444444444446
13, 900, 0.19555555555555557
14, 900, 0.18777777777777777
15, 900, 0.22555555555555556
16, 900, 0.2011111111111111
17, 900, 0.20666666666666667
18, 900, 0.2
19, 900, 0.20333333333333334
20, 900, 0.1922222222222222
21, 900, 0.16444444444444445
22, 900, 0.18
23, 900, 0.19333333333333333
24, 900, 0.1988888888888889
25, 900, 0.19777777777777777
26, 900, 0.18888888888888888
27, 900, 0.21444444444444444
28, 900, 0.19444444444444445
29, 900, 0.21222222222222223
30, 900, 0.19333333333333333
31, 900, 0.20777777777777778
32, 900, 0.18555555555555556
33, 900, 0.21
34, 900, 0.20777777777777778
35, 900, 0.18888888888888888
36, 900, 0.20444444444444446
37, 900, 0.19555555555555557
38, 900, 0.2011111111111111
39, 900, 0.2311111111111111
40, 900, 0.21333333333333335
41, 900, 0.20333333333333334
42, 900, 0.21888888888888888
43, 900, 0.16333333333333333
44, 900, 0.19777777777777777
45, 900, 0.18333333333333332
46, 900, 0.22111111111111112
47, 900, 0.18666666666666668
48, 900, 0.2
49, 900, 0.18888888888888888
50, 900, 0.19777777777777777
1, 950, 0.22
2, 950, 0.2063157894736842
3, 950, 0.20210526315789473
4, 950, 0.17789473684210527
5, 950, 0.19894736842105262
6, 950, 0.19894736842105262
7, 950, 0.18736842105263157
8, 950, 0.1863157894736842
9, 950, 0.2063157894736842
10, 950, 0.18736842105263157
11, 950, 0.21368421052631578
12, 950, 0.17157894736842105
13, 950, 0.1863157894736842
14, 950, 0.22210526315789475
15, 950, 0.19894736842105262
16, 950, 0.1936842105263158
17, 950, 0.1863157894736842
18, 950, 0.22
19, 950, 0.22105263157894736
20, 950, 0.2073684210526316
21, 950, 0.2
22, 950, 0.2094736842105263
23, 950, 0.18947368421052632
24, 950, 0.19052631578947368
25, 950, 0.22210526315789475
26, 950, 0.1968421052631579
27, 950, 0.2063157894736842
28, 950, 0.19789473684210526
29, 950, 0.19157894736842104
30, 950, 0.19157894736842104
31, 950, 0.1968421052631579
32, 950, 0.1957894736842105
33, 950, 0.2326315789473684
34, 950, 0.18842105263157893
35, 950, 0.19052631578947368
36, 950, 0.1863157894736842
37, 950, 0.19894736842105262
38, 950, 0.18526315789473685
39, 950, 0.20105263157894737
40, 950, 0.22
41, 950, 0.21052631578947367
42, 950, 0.19894736842105262
43, 950, 0.1726315789473684
44, 950, 0.2094736842105263
45, 950, 0.1831578947368421
46, 950, 0.1957894736842105
47, 950, 0.20210526315789473
48, 950, 0.21368421052631578
49, 950, 0.19789473684210526
50, 950, 0.21157894736842106
1, 1000, 0.237
2, 1000, 0.197
3, 1000, 0.191
4, 1000, 0.215
5, 1000, 0.201
6, 1000, 0.181
7, 1000, 0.192
8, 1000, 0.192
9, 1000, 0.191
10, 1000, 0.174
11, 1000, 0.222
12, 1000, 0.203
13, 1000, 0.206
14, 1000, 0.201
15, 1000, 0.202
16, 1000, 0.19
17, 1000, 0.188
18, 1000, 0.199
19, 1000, 0.202
20, 1000, 0.224
21, 1000, 0.181
22, 1000, 0.195
23, 1000, 0.204
24, 1000, 0.196
25, 1000, 0.189
26, 1000, 0.194
27, 1000, 0.209
28, 1000, 0.207
29, 1000, 0.198
30, 1000, 0.206
31, 1000, 0.196
32, 1000, 0.208
33, 1000, 0.18
34, 1000, 0.191
35, 1000, 0.177
36, 1000, 0.192
37, 1000, 0.199
38, 1000, 0.216
39, 1000, 0.188
40, 1000, 0.188
41, 1000, 0.194
42, 1000, 0.228
43, 1000, 0.199
44, 1000, 0.211
45, 1000, 0.216
46, 1000, 0.2
47, 1000, 0.193
48, 1000, 0.199
49, 1000, 0.198
50, 1000, 0.197
1, 1050, 0.1980952380952381
2, 1050, 0.21523809523809523
3, 1050, 0.19333333333333333
4, 1050, 0.18476190476190477
5, 1050, 0.19523809523809524
6, 1050, 0.2057142857142857
7, 1050, 0.20952380952380953
8, 1050, 0.20285714285714285
9, 1050, 0.2038095238095238
10, 1050, 0.19047619047619047
11, 1050, 0.19142857142857142
12, 1050, 0.18
13, 1050, 0.21047619047619048
14, 1050, 0.17714285714285713
15, 1050, 0.20476190476190476
16, 1050, 0.17523809523809525
17, 1050, 0.19523809523809524
18, 1050, 0.17238095238095238
19, 1050, 0.19238095238095237
20, 1050, 0.20761904761904762
21, 1050, 0.20952380952380953
22, 1050, 0.21333333333333335
23, 1050, 0.20476190476190476
24, 1050, 0.2180952380952381
25, 1050, 0.1895238095238095
26, 1050, 0.21047619047619048
27, 1050, 0.2019047619047619
28, 1050, 0.21142857142857144
29, 1050, 0.21904761904761905
30, 1050, 0.19047619047619047
31, 1050, 0.2038095238095238
32, 1050, 0.2219047619047619
33, 1050, 0.22380952380952382
34, 1050, 0.19333333333333333
35, 1050, 0.1895238095238095
36, 1050, 0.20285714285714285
37, 1050, 0.17238095238095238
38, 1050, 0.1980952380952381
39, 1050, 0.19428571428571428
40, 1050, 0.19238095238095237
41, 1050, 0.20857142857142857
42, 1050, 0.20666666666666667
43, 1050, 0.19238095238095237
44, 1050, 0.18571428571428572
45, 1050, 0.24476190476190476
46, 1050, 0.2019047619047619
47, 1050, 0.2180952380952381
48, 1050, 0.20476190476190476
49, 1050, 0.1895238095238095
50, 1050, 0.19428571428571428
1, 1100, 0.17
2, 1100, 0.20454545454545456
3, 1100, 0.19272727272727272
4, 1100, 0.2190909090909091
5, 1100, 0.21272727272727274
6, 1100, 0.22545454545454546
7, 1100, 0.1990909090909091
8, 1100, 0.2081818181818182
9, 1100, 0.21545454545454545
10, 1100, 0.19090909090909092
11, 1100, 0.20454545454545456
12, 1100, 0.21
13, 1100, 0.18636363636363637
14, 1100, 0.18545454545454546
15, 1100, 0.21
16, 1100, 0.1990909090909091
17, 1100, 0.20454545454545456
18, 1100, 0.2009090909090909
19, 1100, 0.1918181818181818
20, 1100, 0.1990909090909091
21, 1100, 0.2190909090909091
22, 1100, 0.17727272727272728
23, 1100, 0.19363636363636363
24, 1100, 0.2018181818181818
25, 1100, 0.21181818181818182
26, 1100, 0.19
27, 1100, 0.19454545454545455
28, 1100, 0.21545454545454545
29, 1100, 0.18818181818181817
30, 1100, 0.19818181818181818
31, 1100, 0.18
32, 1100, 0.20363636363636364
33, 1100, 0.21818181818181817
34, 1100, 0.20272727272727273
35, 1100, 0.20454545454545456
36, 1100, 0.21181818181818182
